Site,Year,Andrena hikosana,Andrena kaguya,Andrena mediocalens,Andrena callopyrrha,Andrena luridiloma,Andrena rosae,Andrena delicatula,Andrena sp1,Andrena taraxaci,Andrena thoracica,Andrena vitiosa,Anthophora plumipes,Apis cerana,Ceratina japonica,Ceratina flavipes ,Ceratina okinawana,Ceratina smaragdula,Eucera sp1,Eumenidae sp1,Formicidae sp1,Formicidae sp2,Formicidae sp3,Formicidae sp4,Formicidae sp5,Halictus aerarius,Halictus calceatus,Halictus quadricinctus,Halictus sp1,Halictus sp2,Halictus tsingtouensis,Hylaeus floralis,Hymenoptera sp1,Hymenoptera sp2,Hymenoptera sp3,Hymenoptera sp4,Hymenoptera sp5,Hymenoptera sp6,Hymenoptera sp7,Habropoda sinensis,Lasioglossum albipes,Lasioglossum kumejimense ,Lasioglossum occidens,Lasioglossum politum,Lasioglossum proximatum,Lasioglossum scitulum,Lasioglossum subopatum,Lasioglossum sp1,Lasioglossum sp3,Lasioglossum (Lasioglossum) sp4,Lasioglossum (Lasioglossum) sp5,Lasioglossum halictoides,Lasioglossum evylaeus sp.,Lasioglossum evylaeus sp4,Nomada sp1,Nomada sp2,Nomada versicolor,Osmia sp1,Osmia excavata ,Osmia pedicornis,Osmia cornifrons ,Osmia microdonta,Osmia taurus,Polistes hebraeus,Polistes rothneyi,Polistes snelleni,Scoliidae sp1,Scoliidae sp2,Eucera floralia,Tetralonia mitsukurii,Vespa velutina,Vespula koreensis,Xylocopa rufipes,Xylocopa tranquabarorum,Episyrphus cretensis,Eristalis cerealis,Epistrophe balteata,fruit fly sp1,fruit fly sp2,Phytomia zonata,Syrphidae sp1,Syrphidae sp2,Syrphidae sp3,Syrphus ribesii,Pieris rapae,Plutella xylostella
s1,2015,1,0,0,0,0,0,0,0,0,0,0,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,196,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,10,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,21,0
s2,2015,0,0,0,0,2,0,0,1,0,0,0,7,15,0,0,6,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,7,0,0,0,0,18,0,0,0,8,24,70,0,0,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,1,175,0,0,0,0,0,3,0,0,20,0,0,2,1,1,1,31,0
s3,2015,0,0,0,0,0,0,0,0,0,0,0,0,47,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,139,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,94,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,449,0
s4,2015,0,0,0,0,0,0,0,0,0,1,0,1,161,0,0,2,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,52,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,203,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,115,0
s5,2015,0,0,0,0,1,0,0,1,0,0,0,4,11,0,0,1,0,0,0,0,0,3,4,0,3,0,0,1,0,19,0,0,0,0,0,0,0,0,0,0,1,0,0,63,75,59,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,1,1,0,0,126,0,0,0,0,0,2,1,0,0,1,0,0,0,0,2,28,1
s6,2015,0,0,0,0,0,0,0,0,0,0,0,3,22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,1,0,0,94,23,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,2,100,1,1,0,0,0,1,0,0,0,0,1,0,1,0,0,61,0
s7,2015,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,13,24,12,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,4,0
s10,2015,0,0,0,0,0,0,0,0,0,0,1,2,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,10,3,25,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,1,0,0,43,5,0,0,0,1,0,4,0,0,0,0,0,0,0,0,46,0
s11,2015,0,0,0,0,0,0,0,0,0,0,1,7,5,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,1,0,0,11,20,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,18,3,0,0,0,0,0,0,0,0,0,0,0,0,0,1,9,0
s12,2015,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,249,40,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,56,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0
s13,2015,0,0,0,0,2,0,0,0,0,0,0,2,59,17,0,3,0,0,0,0,0,0,2,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,10,9,2,18,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,3,0,0,32,0,0,0,0,0,2,0,0,0,0,0,0,0,2,1,53,0
s14,2015,2,0,0,0,0,0,0,0,1,0,0,0,21,0,0,3,0,0,0,0,1,0,0,0,3,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,6,0,6,2,10,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,3,0,0,32,0,1,0,0,0,2,0,0,0,1,0,0,1,3,0,83,0
s15,2015,2,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,14,0,0,6,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,7,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,15,0,0,4,0,0,0,0,0,0,0,0,0,1,0,77,0
s16,2015,0,0,0,0,23,0,0,0,0,0,1,2,16,0,0,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,22,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,36,1,0,0,0,2,0,0,0,0,0,1,2,0,0,0,69,0
s17,2015,1,0,0,0,4,0,0,0,0,0,0,2,3,3,0,4,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,7,6,1,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,11,0
s18,2015,0,1,0,0,0,0,0,0,0,1,2,0,14,0,0,8,0,0,0,0,8,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,7,0,0,0,1,0,0,0,0,0,0,0,0,3,2,19,10
s19,2015,0,0,0,0,1,0,0,0,0,0,0,1,18,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,11,52,7,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0
s20,2015,0,0,0,0,0,0,0,0,0,0,0,3,11,0,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,19,23,9,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,116,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,24,0
s1,2019,0,0,0,2,11,0,0,0,0,0,0,0,5,0,0,17,0,0,0,0,0,0,0,0,1,0,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,23,18,11,28,30,0,0,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
s2,2019,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,4,3,0,0,0,0,0,0,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,10,5,27,5,32,3,0,22,7,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s4,2019,0,0,0,1,0,0,0,0,0,0,0,0,55,0,0,3,4,0,1,0,0,0,0,3,10,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,20,3,24,12,2,8,0,6,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,3,0
s5,2019,0,0,0,0,0,0,0,0,1,0,0,0,25,0,8,19,1,0,1,0,0,0,0,3,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,24,4,28,9,9,0,3,21,11,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
s6,2019,0,0,0,0,1,0,0,0,0,0,0,0,14,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,9,16,2,8,1,0,31,1,27,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s8,2019,0,0,1,4,0,0,0,0,0,0,0,0,4,0,1,12,1,0,0,0,0,0,0,0,2,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,18,7,1,2,8,6,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s9,2019,0,0,0,0,2,0,0,0,0,0,0,0,4,0,6,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,11,5,7,0,7,0,0,5,0,0,0,0,0,0,1,1,4,0,0,0,0,0,0,0,10,0,0,0,0,3,0,0,2,0,0,0,0,1,1,0,0,0
s10,2019,0,0,0,0,0,0,2,0,0,0,0,0,3,0,10,23,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,6,4,11,4,1,1,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,28,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
s11,2019,0,0,0,2,0,0,0,0,0,0,0,0,12,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,7,8,1,0,0,0,7,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,2,0
s12,2019,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0
s13,2019,0,0,0,2,9,0,0,0,0,0,0,0,21,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,2,0,0,0,0,29,2,11,10,15,6,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s14,2019,0,0,0,0,2,1,0,0,0,0,0,0,13,0,3,1,0,0,1,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,5,1,1,1,1,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
s15,2019,0,0,0,5,7,0,0,0,0,0,0,0,10,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,20,14,20,10,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,1,0
s16,2019,0,0,0,3,0,0,0,0,0,0,0,0,19,0,2,6,1,0,1,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,16,12,0,8,0,0,0,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
s17,2019,0,0,0,0,7,0,0,0,0,0,0,0,11,0,3,3,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,10,3,7,0,5,0,0,0,3,0,0,0,0,0,1,4,3,0,0,0,0,0,0,0,23,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,1,0
s18,2019,0,0,1,2,1,0,0,0,0,2,0,2,5,2,5,9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,7,1,17,2,0,0,3,5,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
s19,2019,0,0,0,6,10,0,0,0,0,0,0,0,13,0,8,4,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,5,9,3,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,19,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0
s20,2019,0,0,0,1,16,0,0,0,0,0,0,0,2,0,1,10,3,0,1,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,31,11,17,18,11,8,0,6,0,0,0,0,0,0,14,1,0,0,0,0,0,0,1,0,1,0,0,0,0,3,0,0,2,0,0,0,0,0,0,0,0,0